고객ID,연령,성별,지역,직업,연간소득,구매횟수,총구매금액,선호카테고리
C001,28,여성,서울,IT,4500000,12,1250000,전자제품
C002,35,남성,부산,교육,3200000,8,650000,도서
C003,42,여성,대구,의료,5800000,15,2100000,의류
C004,31,남성,인천,금융,4200000,10,980000,전자제품
C005,26,여성,광주,서비스,2800000,6,420000,화장품
C006,39,남성,서울,제조,3900000,9,760000,스포츠
C007,33,여성,부산,IT,4800000,14,1680000,전자제품
C008,45,남성,대구,건설,3600000,7,580000,생활용품
C009,29,여성,인천,금융,4100000,11,1320000,의류
C010,37,남성,광주,교육,3300000,8,690000,도서
C011,24,여성,서울,서비스,2600000,5,380000,화장품
C012,41,남성,부산,의료,5500000,13,1850000,의료용품
C013,34,여성,대구,IT,4600000,12,1420000,전자제품
C014,46,남성,인천,제조,3800000,9,720000,스포츠
C015,30,여성,광주,금융,4000000,10,1150000,의류
C016,27,남성,서울,IT,4300000,11,1280000,전자제품
C017,38,여성,부산,교육,3400000,7,590000,도서
C018,43,남성,대구,건설,3700000,8,650000,생활용품
C019,32,여성,인천,의료,5200000,14,1950000,의료용품
C020,25,남성,광주,서비스,2900000,6,450000,스포츠
C021,36,여성,서울,금융,4400000,12,1380000,의류
C022,44,남성,부산,제조,3500000,8,680000,생활용품
C023,31,여성,대구,IT,4700000,13,1520000,전자제품
C024,40,남성,인천,교육,3100000,7,560000,도서
C025,28,여성,광주,의료,5100000,15,2050000,의료용품